10th Marks,12th Marks,Skills,Career
63,60,"Critical Thinking, AutoCAD, Structural Design",Architect
83,71,"Fundraising, Business Development",Entrepreneur
83,60,"Project Management, Creativity, AutoCAD",Architect
96,73,"Machine Design, Communication, Materials Science, Manufacturing",Mechanical Engineer
77,74,"AutoCAD, Design Principles",Architect
92,79,"Innovation, Fundraising, Pitching, Business Development, Creativity",Entrepreneur
88,77,"Subject Knowledge, Classroom Management, Communication, Assessment",Teacher
80,84,"Machine Learning, Statistics, Big Data, Teamwork, Data Visualization",Data Scientist
91,97,"Branding, Typography, Illustrator, Photoshop, Communication",Graphic Designer
64,70,"Debugging, Algorithms, DSA",Software Developer
70,75,"Project Management, Design Principles, Problem Solving",Architect
95,66,"Counseling, Clinical Knowledge",Psychologist
95,83,"Surveying, AutoCAD",Civil Engineer
72,88,"Critical Thinking, Court Procedures, Documentation, Argumentation, Client Counseling",Lawyer
60,63,"Machine Learning, Problem Solving, Statistics, Python",Data Scientist
60,73,"Law Knowledge, Reasoning, Aptitude, Administration",Government Employee
99,90,"Management, Negotiation",Business Professional
69,79,"Court Procedures, Legal Research, Critical Thinking, Client Counseling",Lawyer
98,84,"Creative Writing, Proofreading, Problem Solving",Content Writer
81,75,"Law Knowledge, Reasoning, Administration, Communication, General Awareness",Government Employee
77,61,"Excel, Financial Modeling, Teamwork, Valuation, Accounting",Financial Analyst
89,63,"Advertising, Community Management",Social Media Manager
82,84,"Leadership, Management, Finance Knowledge",Business Professional
79,79,"Email Marketing, SEO, Google Ads, Content Marketing",Digital Marketer
66,82,"Branding, Illustrator, Typography, Creativity",Graphic Designer
97,72,"Chemistry, Biology, Patient Care, Medical Research",Doctor
61,73,"Critical Thinking, Strategy, Management, Finance Knowledge, Negotiation",Business Professional
88,89,"Communication, Classroom Management, Subject Knowledge, Lesson Planning",Teacher
65,71,"Teamwork, Branding, Creativity, Photoshop",Graphic Designer
93,73,"Content Marketing, Analytics, SEO",Digital Marketer
81,88,"System Design, Programming, Algorithms",Software Developer
61,67,"Aptitude, General Awareness, Reasoning",Government Employee
77,76,"Valuation, Excel, Investment Analysis, Accounting",Financial Analyst
83,89,"AutoCAD, Design Principles",Architect
89,78,"Argumentation, Client Counseling, Documentation, Court Procedures",Lawyer
100,64,"SEO Writing, Proofreading, Content Strategy",Content Writer
86,100,"Pitching, Innovation, Fundraising, Business Development",Entrepreneur
84,91,"Community Management, Content Planning, Critical Thinking",Social Media Manager
87,94,"Content Strategy, Proofreading, Creative Writing",Content Writer
83,67,"Reasoning, Administration, Aptitude, General Awareness",Government Employee
95,72,"Patient Care, Research Methods",Psychologist
80,85,"Prototyping, UI/UX Design, User Research, Adobe XD",Product Designer
64,76,"Programming, DSA, Creativity, Algorithms",Software Developer
75,64,"Illustrator, Critical Thinking, Branding",Graphic Designer
77,81,"Illustrator, Creativity, Photoshop, Communication",Graphic Designer
80,81,"Machine Design, Materials Science",Mechanical Engineer
79,61,"Big Data, Machine Learning, Statistics, Python",Data Scientist
62,83,"Research Methods, Counseling, Clinical Knowledge",Psychologist
87,60,"Creativity, Photoshop",Graphic Designer
76,60,"Project Management, Design Principles, AutoCAD",Architect
92,74,"Client Counseling, Legal Research, Court Procedures, Critical Thinking, Argumentation",Lawyer
100,76,"Communication, Lesson Planning",Teacher
91,72,"Scientific Writing, Experimentation, Data Analysis",Research Scientist
92,81,"Content Marketing, SEO, Communication, Google Ads",Digital Marketer
75,71,"Strategy, Management, Finance Knowledge, Leadership",Business Professional
78,70,"Teamwork, Wireframing, User Research",Product Designer
80,80,"Court Procedures, Documentation, Legal Research, Creativity",Lawyer
83,93,"Analytics, Communication, Community Management",Social Media Manager
65,96,"Programming, Debugging",Software Developer
71,99,"Surveying, Construction Management, Structural Analysis, Communication, AutoCAD",Civil Engineer
73,98,"Communication, Financial Modeling, Valuation, Accounting, Investment Analysis",Financial Analyst
84,95,"Wireframing, Critical Thinking, UI/UX Design",Product Designer
81,81,"Communication, Patient Care, Chemistry, Anatomy, Biology",Doctor
62,97,"Startup Strategy, Critical Thinking, Pitching, Fundraising, Business Development",Entrepreneur
80,95,"Patient Care, Anatomy",Doctor
91,100,"Valuation, Excel, Financial Modeling, Investment Analysis",Financial Analyst
62,93,"Algorithms, Programming, Debugging, System Design",Software Developer
80,99,"Content Strategy, SEO Writing, Creative Writing, Proofreading",Content Writer
80,60,"Leadership, Finance Knowledge, Creativity, Strategy",Business Professional
60,95,"Communication, Content Planning, Social Media Strategy",Social Media Manager
75,64,"Subject Knowledge, Lesson Planning, Assessment, Classroom Management",Teacher
67,63,"Leadership, Critical Thinking, Management",Business Professional
98,92,"Scientific Writing, Laboratory Skills, Critical Thinking",Research Scientist
93,65,"Financial Modeling, Investment Analysis, Accounting, Valuation",Financial Analyst
98,81,"Valuation, Accounting, Excel, Financial Modeling",Financial Analyst
63,61,"AutoCAD, Surveying, Construction Management, Geotechnical Engineering",Civil Engineer
72,90,"Statistics, Big Data, Data Visualization, Machine Learning",Data Scientist
100,88,"Machine Learning, Data Visualization, Python",Data Scientist
80,95,"Big Data, Critical Thinking, Statistics, Data Visualization, Python",Data Scientist
91,87,"Clinical Knowledge, Research Methods, Therapy Techniques, Counseling",Psychologist
79,60,"CAD, Manufacturing, Materials Science, Machine Design",Mechanical Engineer
71,86,"Photoshop, Creativity",Graphic Designer
78,75,"Editing, Content Strategy",Content Writer
67,90,"Communication, Machine Design, Thermodynamics, CAD",Mechanical Engineer
63,81,"Startup Strategy, Fundraising, Business Development, Pitching",Entrepreneur
67,66,"Documentation, Teamwork, Data Analysis, SQL, Requirement Gathering",Business Analyst
68,63,"Critical Thinking, Documentation, Argumentation, Legal Research",Lawyer
72,98,"Excel, Accounting, Investment Analysis, Financial Modeling",Financial Analyst
98,95,"Biology, Anatomy, Critical Thinking",Doctor
82,82,"Illustrator, Branding, Typography, Photoshop",Graphic Designer
71,93,"Prototyping, User Research, UI/UX Design",Product Designer
63,74,"Structural Analysis, AutoCAD, Construction Management, Surveying",Civil Engineer
74,94,"Google Ads, SEO, Creativity, Email Marketing",Digital Marketer
99,77,"Prototyping, Adobe XD, UI/UX Design, Wireframing",Product Designer
95,66,"Documentation, Teamwork, Client Counseling, Legal Research",Lawyer
73,99,"Law Knowledge, General Awareness, Aptitude",Government Employee
96,63,"Reasoning, General Awareness, Problem Solving",Government Employee
76,77,"Teamwork, Leadership, Negotiation, Strategy, Finance Knowledge",Business Professional
72,75,"Assessment, Subject Knowledge, Teamwork",Teacher
61,70,"Court Procedures, Argumentation, Communication, Legal Research",Lawyer
66,74,"Prototyping, UI/UX Design, Communication, Wireframing",Product Designer
91,62,"Biology, Problem Solving, Patient Care",Doctor
72,74,"Subject Knowledge, Assessment, Classroom Management",Teacher
94,91,"Management, Finance Knowledge, Negotiation",Business Professional
73,88,"Innovation, Startup Strategy, Critical Thinking, Business Development, Fundraising",Entrepreneur
84,95,"SEO, Email Marketing, Content Marketing, Google Ads",Digital Marketer
61,61,"Surveying, Creativity, Structural Analysis, Geotechnical Engineering",Civil Engineer
80,83,"Court Procedures, Legal Research, Documentation, Creativity, Client Counseling",Lawyer
82,60,"SQL, Data Analysis, Communication",Business Analyst
61,76,"Design Principles, Structural Design, Building Codes",Architect
98,73,"Lesson Planning, Classroom Management, Teamwork, Assessment",Teacher
90,64,"Construction Management, Structural Analysis, Surveying",Civil Engineer
97,78,"Medical Research, Biology, Anatomy, Patient Care",Doctor
71,87,"Therapy Techniques, Creativity, Counseling, Clinical Knowledge, Patient Care",Psychologist
76,94,"General Awareness, Administration, Law Knowledge, Creativity, Aptitude",Government Employee
75,81,"Problem Solving, Manufacturing, Machine Design, CAD",Mechanical Engineer
97,86,"Manufacturing, Materials Science, Communication, Thermodynamics, CAD",Mechanical Engineer
64,61,"UI/UX Design, Adobe XD",Product Designer
64,65,"Wireframing, Adobe XD, User Research, UI/UX Design",Product Designer
61,64,"Communication, Argumentation, Court Procedures",Lawyer
92,84,"Typography, Photoshop, Communication, Creativity",Graphic Designer
79,93,"Experimentation, Scientific Writing",Research Scientist
90,83,"Geotechnical Engineering, Structural Analysis, Critical Thinking, Surveying, Construction Management",Civil Engineer
95,84,"Communication, Community Management, Analytics, Advertising, Social Media Strategy",Social Media Manager
84,88,"Data Visualization, Machine Learning, Big Data, Statistics",Data Scientist
78,85,"Administration, Teamwork, Reasoning",Government Employee
62,75,"Email Marketing, Communication, Analytics, Google Ads",Digital Marketer
71,79,"Data Analysis, SQL, Documentation, Communication",Business Analyst
65,76,"Fundraising, Startup Strategy, Problem Solving, Pitching",Entrepreneur
100,80,"Excel, Accounting, Financial Modeling, Problem Solving",Financial Analyst
87,87,"General Awareness, Reasoning, Aptitude",Government Employee
93,67,"Teamwork, Lesson Planning, Classroom Management, Subject Knowledge",Teacher
82,96,"Subject Knowledge, Classroom Management, Assessment, Communication",Teacher
85,90,"Typography, Branding, Illustrator, Creativity, Critical Thinking",Graphic Designer
73,89,"Documentation, Client Counseling, Court Procedures",Lawyer
77,86,"Analytics, Social Media Strategy",Social Media Manager
84,68,"Python, Statistics, Big Data",Data Scientist
87,94,"Communication, Assessment, Lesson Planning, Communication",Teacher
75,72,"Communication, Google Ads, Analytics, Email Marketing",Digital Marketer
84,80,"Counseling, Critical Thinking, Clinical Knowledge, Research Methods",Psychologist
97,66,"Classroom Management, Subject Knowledge, Assessment, Lesson Planning",Teacher
93,78,"Geotechnical Engineering, Structural Analysis, AutoCAD, Surveying",Civil Engineer
96,98,"SEO Writing, Creative Writing, Communication",Content Writer
81,90,"Scientific Writing, Data Analysis, Critical Thinking, Experimentation",Research Scientist
66,93,"Typography, Photoshop, Illustrator, Problem Solving, Branding",Graphic Designer
72,96,"Investment Analysis, Critical Thinking, Excel",Financial Analyst
60,98,"Proofreading, Creativity, Content Strategy, Creative Writing, Editing",Content Writer
67,82,"Client Counseling, Legal Research, Documentation, Critical Thinking, Court Procedures",Lawyer
80,81,"Biology, Patient Care, Creativity, Anatomy, Chemistry",Doctor
94,78,"Lesson Planning, Classroom Management, Assessment, Communication",Teacher
95,88,"Programming, Communication, System Design",Software Developer
83,69,"Structural Analysis, Surveying, AutoCAD, Construction Management",Civil Engineer
88,90,"Algorithms, Debugging",Software Developer
68,89,"Thermodynamics, Materials Science, CAD",Mechanical Engineer
77,96,"Critical Thinking, Problem Solving, Laboratory Skills, Scientific Writing",Research Scientist
95,68,"Fundraising, Problem Solving, Business Development, Startup Strategy, Innovation",Entrepreneur
67,72,"Prototyping, Wireframing, UI/UX Design",Product Designer
82,67,"Critical Thinking, Argumentation, Client Counseling, Court Procedures, Documentation",Lawyer
61,92,"Thermodynamics, Teamwork, Machine Design",Mechanical Engineer
83,68,"Accounting, Investment Analysis, Financial Modeling",Financial Analyst
79,94,"Teamwork, Typography, Branding, Photoshop",Graphic Designer
75,76,"Documentation, Requirement Gathering, Data Analysis",Business Analyst
98,89,"Google Ads, Email Marketing, Analytics",Digital Marketer
81,88,"Debugging, DSA, System Design",Software Developer
69,80,"SQL, Data Analysis, Requirement Gathering, Communication",Business Analyst
68,86,"Teamwork, Algorithms, Programming",Software Developer
80,96,"Photoshop, Illustrator, Typography, Creativity",Graphic Designer
94,89,"Design Principles, Structural Design, Problem Solving, AutoCAD",Architect
95,64,"CAD, Creativity, Materials Science, Thermodynamics",Mechanical Engineer
71,88,"Problem Solving, Experimentation, Critical Thinking, Scientific Writing",Research Scientist
100,84,"Creativity, Thermodynamics, Machine Design, CAD",Mechanical Engineer
77,99,"Subject Knowledge, Creativity, Communication, Lesson Planning",Teacher
99,74,"Content Marketing, SEO",Digital Marketer
81,87,"Content Marketing, Email Marketing, Google Ads, Teamwork, Analytics",Digital Marketer
62,88,"Structural Design, AutoCAD, Critical Thinking",Architect
81,77,"Administration, General Awareness, Law Knowledge, Critical Thinking",Government Employee
82,95,"Structural Design, Project Management, Creativity, Building Codes",Architect
85,78,"Negotiation, Finance Knowledge, Problem Solving",Business Professional
66,69,"Advertising, Community Management",Social Media Manager
99,69,"Documentation, Data Analysis, Communication, Requirement Gathering",Business Analyst
86,80,"Strategy, Negotiation",Business Professional
83,62,"Communication, Classroom Management, Critical Thinking",Teacher
97,83,"Email Marketing, Google Ads, Communication, Content Marketing, Analytics",Digital Marketer
63,64,"Project Management, Building Codes, Creativity",Architect
79,89,"Content Planning, Critical Thinking, Advertising",Social Media Manager
74,80,"Illustrator, Typography, Photoshop, Branding",Graphic Designer
84,99,"Manufacturing, Thermodynamics, CAD, Materials Science",Mechanical Engineer
78,93,"Prototyping, Wireframing, Adobe XD, UI/UX Design",Product Designer
70,63,"Content Planning, Social Media Strategy, Analytics, Community Management",Social Media Manager
62,66,"SQL, Communication, Requirement Gathering, Data Analysis",Business Analyst
87,63,"Startup Strategy, Business Development, Fundraising",Entrepreneur
86,66,"Valuation, Financial Modeling, Investment Analysis, Accounting",Financial Analyst
87,73,"Geotechnical Engineering, Problem Solving, Construction Management, Surveying, AutoCAD",Civil Engineer
95,63,"Critical Thinking, Debugging, DSA, Programming",Software Developer
73,72,"Critical Thinking, Content Planning, Advertising, Community Management",Social Media Manager
63,72,"System Design, Programming, DSA, Debugging",Software Developer
72,80,"System Design, DSA, Algorithms, Problem Solving",Software Developer
85,61,"Proofreading, Editing, Content Strategy",Content Writer
74,68,"Google Ads, Analytics, Teamwork, Content Marketing, SEO",Digital Marketer
81,92,"Assessment, Lesson Planning, Classroom Management, Subject Knowledge",Teacher
74,62,"Advertising, Analytics, Content Planning, Community Management, Teamwork",Social Media Manager
71,90,"Documentation, Client Counseling, Court Procedures",Lawyer
79,75,"Client Counseling, Court Procedures, Legal Research, Documentation",Lawyer
84,67,"Debugging, Programming, DSA",Software Developer
72,100,"Debugging, Algorithms",Software Developer
66,60,"DSA, Algorithms, Communication, Debugging",Software Developer
72,75,"Programming, DSA, Algorithms, System Design",Software Developer
80,97,"Programming, DSA, Debugging, Problem Solving",Software Developer
60,77,"Therapy Techniques, Communication, Clinical Knowledge",Psychologist
91,92,"Documentation, Communication",Business Analyst
78,61,"Teamwork, Valuation, Financial Modeling, Excel",Financial Analyst
90,69,"SEO Writing, Teamwork, Content Strategy, Editing",Content Writer
